"","name","screen_name","party","type","gender"
"1","Sen Luther Strange","senatorstrange","Republican","rep","M"
"2","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"3","Sen Luther Strange","senatorstrange","Democrat","sen","F"
"4","Sen Luther Strange","senatorstrange","Republican","sen","M"
"5","Sen Luther Strange","senatorstrange","Democrat","sen","F"
"6","Sen Luther Strange","senatorstrange","Democrat","sen","F"
"7","Sen Luther Strange","senatorstrange","Republican","rep","F"
"8","Sen Luther Strange","senatorstrange","Republican","rep","M"
"9","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"10","Sen Luther Strange","senatorstrange","Republican","rep","M"
"11","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"12","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"13","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"14","Sen Luther Strange","senatorstrange","Democrat","rep","F"
"15","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"16","Sen Luther Strange","senatorstrange","Democrat","rep","F"
"17","Sen Luther Strange","senatorstrange","Republican","rep","M"
"18","Sen Luther Strange","senatorstrange","Republican","rep","M"
"19","Sen Luther Strange","senatorstrange","Republican","rep","M"
"20","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"21","Sen Luther Strange","senatorstrange","Democrat","rep","F"
"22","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"23","Sen Luther Strange","senatorstrange","Democrat","rep","F"
"24","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"25","Sen Luther Strange","senatorstrange","Republican","rep","M"
"26","Sen Luther Strange","senatorstrange","Republican","rep","M"
"27","Sen Luther Strange","senatorstrange","Republican","rep","M"
"28","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"29","Sen Luther Strange","senatorstrange","Republican","rep","M"
"30","Sen Luther Strange","senatorstrange","Republican","rep","M"
"31","Sen Luther Strange","senatorstrange","Republican","rep","M"
"32","Sen Luther Strange","senatorstrange","Republican","rep","M"
"33","Sen Luther Strange","senatorstrange","Republican","rep","M"
"34","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"35","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"36","Sen Luther Strange","senatorstrange","Republican","rep","M"
"37","Sen Luther Strange","senatorstrange","Republican","rep","M"
"38","Sen Luther Strange","senatorstrange","Republican","rep","M"
"39","Sen Luther Strange","senatorstrange","Republican","rep","M"
"40","Sen Luther Strange","senatorstrange","Republican","rep","M"
"41","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"42","Sen Luther Strange","senatorstrange","Democrat","rep","F"
"43","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"44","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"45","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"46","Sen Luther Strange","senatorstrange","Republican","rep","M"
"47","Sen Luther Strange","senatorstrange","Republican","sen","M"
"48","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"49","Sen Luther Strange","senatorstrange","Republican","rep","M"
"50","Sen Luther Strange","senatorstrange","Republican","rep","F"
"51","Sen Luther Strange","senatorstrange","Republican","rep","M"
"52","Sen Luther Strange","senatorstrange","Republican","rep","M"
"53","Sen Luther Strange","senatorstrange","Republican","rep","M"
"54","Sen Luther Strange","senatorstrange","Republican","rep","M"
"55","Sen Luther Strange","senatorstrange","Democrat","rep","M"
"56","Sen Luther Strange","senatorstrange","Democrat","rep","F"
"57","Sen Luther Strange","senatorstrange","Republican","rep","M"
"58","Sen Luther Strange","senatorstrange","Republican","rep","F"
"59","Rep. Mike Johnson","repmikejohnson","Republican","rep","M"
