name,screen_name
Sen Luther Strange,SenatorStrange
Rep. Mike Johnson,RepMikeJohnson
Ted Budd,RepTedBudd
Adriano Espaillat,RepEspaillat
Rep. Blunt Rochester,RepBRochester
Nanette D. Barragán,RepBarragan
Rep. Liz Cheney,RepLizCheney
Tom Suozzi,RepTomSuozzi
John Kennedy,SenJohnKennedy
Brian Fitzpatrick,RepBrianFitz
Rep. Ro Khanna,RepRoKhanna
Rep. Arrington,RepArrington
Rep. Ruben J. Kihuen,RepKihuen
Rep. Donald McEachin,RepMcEachin
Rep. Salud Carbajal,RepCarbajal
Jim Banks,RepJimBanks
Francis Rooney,RepRooney
Jason Lewis,RepJasonLewis
Rep. Charlie Crist,RepCharlieCrist
Rep. David Kustoff,repdavidkustoff
Lou Correa,RepLouCorrea
Rep. Mike Gallagher,RepGallagher
Dr. Neal Dunn,DrNealDunnFL2
John Faso,RepJohnFaso
Rep Josh Gottheimer,RepJoshG
Raja Krishnamoorthi,CongressmanRaja
Rep. Brian Mast,RepBrianMast
Trey Hollingsworth,RepTrey
Rep. Paul Mitchell,RepPaulMitchell
Senator Cortez Masto,SenCortezMasto
Rep. Jamie Raskin,RepRaskin
Drew Ferguson,RepDrewFerguson
Rep. Val Demings,RepValDemings
Congresswoman Tenney,RepTenney
Rep. Jimmy Panetta,RepJimmyPanetta
Rep Stephanie Murphy,RepStephMurphy
Rep. Roger Marshall,RepMarshall
Rep. Michael Capuano,RepMikeCapuano
Darin LaHood,RepLaHood
Trent Kelly,RepTrentKelly
Donald Norcross,DonaldNorcross
Rep. Ted Lieu,RepTedLieu
Dan Donovan,dandonovan_ny
Congresswoman Amata,RepAmata
Rep. Pete Aguilar,RepPeteAguilar
Rep. Glenn Grothman,RepGrothman
Rep. Mia Love,RepMiaLove
Rep. Jody Hice,CongressmanHice
Rep. Steve Knight,SteveKnight25
Buddy Carter,RepBuddyCarter
Kathleen Rice,RepKathleenRice
Rep. Debbie Dingell,RepDebDingell
Bonnie WatsonColeman,RepBonnie
Mark DeSaulnier,RepDeSaulnier
John Katko,RepJohnKatko
Rep. Steve Russell,RepRussell
Ruben Gallego,RepRubenGallego
Congressman Rod Blum,RepRodBlum
Martha McSally,RepMcSally
Rep. Mike Bost,RepBost
Rep. Alex Mooney,RepAlexMooney
Rick W. Allen,RepRickAllen
Senator Thom Tillis,SenThomTillis
Rep. Will Hurd,HurdOnTheHill
Tom MacArthur,RepTomMacArthur
Senator Ben Sasse,SenSasse
Rep. Ralph Abraham,RepAbraham
Rep. Don Beyer,RepDonBeyer
Rep. Elise Stefanik,RepStefanik
Senator Mike Rounds,SenatorRounds
French Hill,RepFrenchHill
Rep. Ryan Costello,RepRyanCostello
Rep. Evan Jenkins,RepEvanJenkins
Ryan Zinke,RepRyanZinke
Rep. Garret Graves,RepGarretGraves
Barbara Comstock,RepComstock
Rep. Bruce Poliquin,RepPoliquin
Rep Dan Newhouse,RepNewhouse
Brian Babin,RepBrianBabin
Alma S. Adams,RepAdams
Mike Bishop,RepMikeBishop
Tom Emmer,RepTomEmmer
Barry Loudermilk,RepLoudermilk
SenDanSullivan,SenDanSullivan
Dave Trott,repdavetrott
Steve Knight,UnofficialSK
David Perdue,sendavidperdue
Brenda Lawrence,RepLawrence
Congressman Ken Buck,RepKenBuck
Gary Palmer,USRepGaryPalmer
Joni Ernst,SenJoniErnst
Rep. Carlos Curbelo,RepCurbelo
Rep. Bruce Westerman,RepWesterman
John Ratcliffe,RepRatcliffe
Lee Zeldin,RepLeeZeldin
Rep. Curt Clawson,RepCurtClawson
Rep. Stacey Plaskett,StaceyPlaskett
Rep. John Moolenaar,RepMoolenaar
Rep. Dave Brat,RepDaveBrat
Alcee L. Hastings,RepHastingsFL
Rob Woodall,RepRobWoodall
Katherine Clark,RepKClark
Rep. Bradley Byrne,RepByrne
Rep. Brett Guthrie,RepGuthrie
Rep John Duncan Jr.,RepJohnDuncanJr
US Rep Kathy Castor,USRepKCastor
Blaine Luetkemeyer,RepBlainePress
Rep. Jason Smith,RepJasonSmith
Joyce Beatty,RepBeatty
Mark Sanford,RepSanfordSC
U.S. Rep. Billy Long,USRepLong
Rep. Peter Welch,PeterWelch
Rodney Frelinghuysen,USRepRodney
Robin Kelly,RepRobinKelly
Rep. Duncan Hunter,Rep_Hunter
Rep. Chris Smith,RepChrisSmith
Tim Walz,RepTimWalz
Rep. Juan Vargas,RepJuanVargas
Leader McConnell,SenateMajLdr
Julia Brownley,JuliaBrownley26
Rep. Tony Cárdenas,RepCardenas
Rep. Steve Scalise,SteveScalise
Rep. Mark Pocan,repmarkpocan
Donald Payne Jr.,RepDonaldPayne
Keith Rothfus,KeithRothfus
D. Wasserman Schultz,RepDWStweets
Rep. Scott Peters,RepScottPeters
Rep. Beto O'Rourke,RepBetoORourke
Rep. David Valadao,RepDavidValadao
Martin Heinrich,MartinHeinrich
