bioguide_id,party,gender,title,birthdate,firstname,middlename,lastname,name_suffix,state,district,senate_class,website,fec_id,twitter_id
C001095,R,M,Sen,5/13/77,Tom,,Cotton,,AR,Junior Seat,II,https://www.cotton.senate.gov,H2AR04083,SenTomCotton
G000562,R,M,Sen,8/22/74,Cory,,Gardner,,CO,Junior Seat,II,https://www.gardner.senate.gov,H0CO04122,SenCoryGardner
M001169,D,M,Sen,8/3/73,Christopher,S.,Murphy,,CT,Junior Seat,I,https://www.murphy.senate.gov,H6CT05124,senmurphyoffice
S001194,D,M,Sen,10/20/72,Brian,Emanuel,Schatz,,HI,Senior Seat,III,https://www.schatz.senate.gov,S4HI00136,SenBrianSchatz
Y000064,R,M,Sen,8/24/72,Todd,C.,Young,,IN,Junior Seat,III,https://www.young.senate.gov,H0IN09070,SenToddYoung
S001197,R,M,Sen,2/22/72,Benjamin,Eric,Sasse,,NE,Junior Seat,II,https://www.sasse.senate.gov/public,S4NE00090,SenSasse
H001046,D,M,Sen,10/17/71,Martin,,Heinrich,,NM,Junior Seat,I,https://www.heinrich.senate.gov,H8NM01224,MartinHeinrich
L000577,R,M,Sen,6/4/71,Mike,,Lee,,UT,Junior Seat,III,https://www.lee.senate.gov/public,S0UT00165,SenMikeLee
R000595,R,M,Sen,5/28/71,Marco,,Rubio,,FL,Junior Seat,III,https://www.rubio.senate.gov,S0FL00338,SenRubioPress
C001098,R,M,Sen,12/22/70,Ted,,Cruz,,TX,Junior Seat,I,https://www.cruz.senate.gov,S2TX00312,SenTedCruz
E000295,R,F,Sen,7/1/70,Joni,,Ernst,,IA,Junior Seat,II,http://www.ernst.senate.gov/public,S4IA00129,SenJoniErnst
B001288,D,M,Sen,4/27/69,Cory,Anthony,Booker,,NJ,Junior Seat,II,https://www.booker.senate.gov,S4NJ00185,senbookeroffice
D000622,D,F,Sen,3/12/68,Tammy,,Duckworth,,IL,Junior Seat,III,https://www.duckworth.senate.gov,H6IL06141,SenDuckworth
L000575,R,M,Sen,3/4/68,James,,Lankford,,OK,Junior Seat,III,https://www.lankford.senate.gov,H0OK05114,SenatorLankford
G000555,D,F,Sen,12/9/66,Kirsten,E.,Gillibrand,,NY,Junior Seat,I,https://www.gillibrand.senate.gov,H6NY20167,SenGillibrand
S001184,R,M,Sen,9/19/65,Tim,,Scott,,SC,Junior Seat,III,https://www.scott.senate.gov,H0SC01279,SenatorTimScott
B001267,D,M,Sen,11/28/64,Michael,F.,Bennet,,CO,Senior Seat,III,https://www.bennet.senate.gov,S0CO00211,SenBennetCo
S001198,R,M,Sen,11/13/64,Dan,,Sullivan,,AK,Junior Seat,II,https://www.sullivan.senate.gov,S4AK00214,SenDanSullivan
H001075,D,F,Sen,10/20/64,Kamala,,Harris,,CA,Junior Seat,III,https://www.harris.senate.gov,S6CA00584,SenKamalaHarris
C001113,D,F,Sen,3/29/64,Catherine,,Cortez Masto,,NV,Junior Seat,III,https://www.cortezmasto.senate.gov,S6NV00200,sencortezmasto
C001088,D,M,Sen,9/9/63,Chris,Andrew,Coons,,DE,Junior Seat,II,https://www.coons.senate.gov,S0DE00092,SenCoonsOffice
P000603,R,M,Sen,1/7/63,Rand,,Paul,,KY,Junior Seat,III,https://www.paul.senate.gov,S0KY00156,RandPaul
F000444,R,M,Sen,12/31/62,Jeff,,Flake,,AZ,Junior Seat,I,https://www.flake.senate.gov/public,H0AZ01184,JeffFlake
D000618,R,M,Sen,8/20/62,Steve,,Daines,,MT,Junior Seat,II,https://www.daines.senate.gov,H2MT01060,SteveDaines
B001230,D,F,Sen,2/11/62,Tammy,,Baldwin,,WI,Junior Seat,I,https://www.baldwin.senate.gov,H8WI00018,SenatorBaldwin
T000461,R,M,Sen,11/17/61,Patrick,J.,Toomey,,PA,Junior Seat,III,https://www.toomey.senate.gov,S4PA00121,SenToomey
T000250,R,M,Sen,1/7/61,John,,Thune,,SD,Senior Seat,III,https://www.thune.senate.gov,S2SD00068,SenJohnThune
T000476,R,M,Sen,8/30/60,Thom,,Tillis,,NC,Junior Seat,II,https://www.tillis.senate.gov/public,S4NC00162,senthomtillis
K000367,D,F,Sen,5/25/60,Amy,Jean,Klobuchar,,MN,Senior Seat,I,https://www.klobuchar.senate.gov,S6MN00267,amyklobuchar
H001041,R,M,Sen,5/10/60,Dean,,Heller,,NV,Senior Seat,I,https://www.heller.senate.gov/public,H6NV02164,SenDeanHeller
C001070,D,M,Sen,4/13/60,Robert,P.,Casey,Jr.,PA,Senior Seat,I,https://www.casey.senate.gov,S6PA00217,SenBobCasey
V000128,D,M,Sen,1/10/59,Chris,,Van Hollen,Jr.,MD,Junior Seat,III,https://www.vanhollen.senate.gov,H2MD08126,ChrisVanHollen
P000595,D,M,Sen,12/1/58,Gary,C.,Peters,,MI,Junior Seat,II,https://www.peters.senate.gov,H8MI09068,SenGaryPeters
C000127,D,F,Sen,10/13/58,Maria,,Cantwell,,WA,Junior Seat,I,https://www.cantwell.senate.gov,S8WA00194,SenatorCantwell
H001076,D,F,Sen,2/27/58,Margaret,Wood,Hassan,,NH,Junior Seat,III,https://www.hassan.senate.gov,S6NH00091,Senatorhassan
K000384,D,M,Sen,2/26/58,Timothy,,Kaine,,VA,Junior Seat,I,https://www.kaine.senate.gov,S2VA00142,SenKaineOffice
C001075,R,M,Sen,9/28/57,Bill,,Cassidy,,LA,Senior Seat,II,https://www.cassidy.senate.gov,H8LA00017,SenBillCassidy
M001153,R,F,Sen,5/22/57,Lisa,A.,Murkowski,,AK,Senior Seat,III,https://www.murkowski.senate.gov,S4AK00099,LisaMurkowski
H001061,R,M,Sen,3/13/57,John,,Hoeven,,ND,Senior Seat,III,https://www.hoeven.senate.gov,S0ND00093,SenJohnHoeven
M001176,D,M,Sen,10/24/56,Jeff,,Merkley,,OR,Junior Seat,II,https://www.merkley.senate.gov,S8OR00207,SenJeffMerkley
T000464,D,M,Sen,8/21/56,Jon,,Tester,,MT,Senior Seat,I,https://www.tester.senate.gov,S6MT00162,SenatorTester
P000449,R,M,Sen,12/19/55,Robert,J.,Portman,,OH,Junior Seat,III,https://www.portman.senate.gov,S0OH00133,SenRobPortman
B001135,R,M,Sen,11/30/55,Richard,M.,Burr,,NC,Senior Seat,III,https://www.burr.senate.gov,S4NC00089,SenatorBurr
H001069,D,F,Sen,10/30/55,Heidi,,Heitkamp,,ND,Junior Seat,I,https://www.heitkamp.senate.gov/public,S2ND00099,SenatorHeitkamp
W000802,D,M,Sen,10/20/55,Sheldon,,Whitehouse,,RI,Junior Seat,I,https://www.whitehouse.senate.gov,S6RI00221,SenWhitehouse
D000607,D,M,Sen,9/28/55,Joe,,Donnelly,,IN,Senior Seat,I,https://www.donnelly.senate.gov,H4IN02101,SenDonnelly
G000359,R,M,Sen,7/9/55,Lindsey,O.,Graham,,SC,Senior Seat,II,https://www.lgraham.senate.gov/public,S0SC00149,GrahamBlog
J000293,R,M,Sen,4/8/55,Ron,,Johnson,,WI,Senior Seat,III,https://www.ronjohnson.senate.gov,S0WI00197,SenRonJohnson
W000805,D,M,Sen,12/15/54,Mark,,Warner,,VA,Senior Seat,II,http://www.warner.senate.gov,S6VA00093,MarkWarner
R000605,R,M,Sen,10/24/54,Mike,,Rounds,,SD,Junior Seat,II,https://www.rounds.senate.gov,S4SD00049,SenatorRounds
M000934,R,M,Sen,5/29/54,Jerry,,Moran,,KS,Junior Seat,III,http://www.moran.senate.gov,H6KS01096,JerryMoran
M000639,D,M,Sen,1/1/54,Robert,,Menéndez,,NJ,Senior Seat,I,https://www.menendez.senate.gov,H2NJ13075,SenatorMenendez
C001047,R,F,Sen,11/26/53,Shelley,Moore,Capito,,WV,Junior Seat,II,https://www.capito.senate.gov,H0WV02138,SenCapito
M001170,D,F,Sen,7/24/53,Claire,,McCaskill,,MO,Senior Seat,I,https://www.mccaskill.senate.gov,S6MO00305,McCaskillOffice
S001202,R,M,Sen,3/1/53,Luther,,Strange,,AL,Junior Seat,II,https://www.senate.gov/senators/115thCongress/Luther_Strange.htm,S8AL00308,SenatorStrange
C001035,R,F,Sen,12/7/52,Susan,M.,Collins,,ME,Senior Seat,II,https://www.collins.senate.gov,S6ME00159,SenatorCollins
B000944,D,M,Sen,11/9/52,Sherrod,,Brown,,OH,Senior Seat,I,https://www.brown.senate.gov,H2OH13033,SenSherrodBrown
C001071,R,M,Sen,8/24/52,Bob,,Corker,,TN,Junior Seat,I,https://www.corker.senate.gov,S6TN00216,SenBobCorker
B001261,R,M,Sen,7/21/52,John,A.,Barrasso,,WY,Junior Seat,I,https://www.barrasso.senate.gov,S6WY00068,SenJohnBarrasso
C001056,R,M,Sen,2/2/52,John,,Cornyn,,TX,Senior Seat,II,https://www.cornyn.senate.gov,S2TX00106,JohnCornyn
